ID,pre_nom,pre_denom,Precision,re_nom,re_denom,Recall
1.0,3,4,0.75,3,4,0.75
3.0,1,1,1.0,1,1,1.0
4.0,3,3,1.0,3,3,1.0
5.0,2,2,1.0,2,2,1.0
6.0,1,2,0.5,1,1,1.0
8.0,2,3,0.6666666666666666,2,2,1.0
9.0,1,4,0.25,1,1,1.0
10.0,2,2,1.0,2,2,1.0
11.0,4,5,0.8,4,4,1.0
12.0,3,4,0.75,3,3,1.0
13.0,3,3,1.0,3,3,1.0
14.0,2,4,0.5,2,3,0.6666666666666666
15.0,2,3,0.6666666666666666,2,3,0.6666666666666666
16.0,2,2,1.0,2,2,1.0
17.0,2,2,1.0,2,2,1.0
19.0,1,1,1.0,1,1,1.0
20.0,1,2,0.5,1,2,0.5
22.0,4,5,0.8,4,5,0.8
23.0,1,1,1.0,1,1,1.0
24.0,1,1,1.0,1,1,1.0
25.0,1,1,1.0,1,1,1.0
26.0,4,7,0.5714285714285714,4,4,1.0
27.0,3,3,1.0,3,3,1.0
28.0,2,2,1.0,2,2,1.0
30.0,3,3,1.0,3,3,1.0
31.0,4,5,0.8,4,4,1.0
32.0,2,2,1.0,2,2,1.0
34.0,2,4,0.5,2,3,0.6666666666666666
35.0,1,1,1.0,1,1,1.0
36.0,5,7,0.7142857142857143,5,7,0.7142857142857143
38.0,1,1,1.0,1,1,1.0
39.0,1,1,1.0,1,1,1.0
40.0,1,2,0.5,1,2,0.5
41.0,4,5,0.8,4,5,0.8
42.0,1,1,1.0,1,2,0.5
43.0,1,1,1.0,1,1,1.0
45.0,3,4,0.75,3,4,0.75
46.0,1,1,1.0,1,1,1.0
47.0,2,2,1.0,2,2,1.0
48.0,2,2,1.0,2,2,1.0
49.0,3,3,1.0,3,3,1.0
50.0,1,3,0.3333333333333333,1,2,0.5
52.0,0,10,0.0,0,0,0.0
53.0,4,4,1.0,4,4,1.0
54.0,1,1,1.0,1,1,1.0
55.0,2,2,1.0,2,2,1.0
56.0,4,5,0.8,4,4,1.0
57.0,2,4,0.5,2,3,0.6666666666666666
58.0,3,3,1.0,3,4,0.75
59.0,2,2,1.0,2,2,1.0
60.0,0,1,0.0,0,1,0.0
61.0,2,3,0.6666666666666666,2,2,1.0
62.0,4,5,0.8,4,5,0.8
63.0,1,2,0.5,1,2,0.5
64.0,4,5,0.8,4,5,0.8
67.0,1,1,1.0,1,1,1.0
68.0,3,3,1.0,3,3,1.0
70.0,1,3,0.3333333333333333,1,3,0.3333333333333333
71.0,3,5,0.6,3,4,0.75
72.0,0,1,0.0,0,1,0.0
73.0,2,2,1.0,2,2,1.0
74.0,4,4,1.0,4,4,1.0
75.0,1,1,1.0,1,1,1.0
76.0,2,2,1.0,2,3,0.6666666666666666
77.0,1,2,0.5,1,1,1.0
78.0,2,2,1.0,2,2,1.0
79.0,2,2,1.0,2,2,1.0
80.0,3,4,0.75,3,3,1.0
81.0,3,3,1.0,3,3,1.0
